make,model,mileage,fuel-type,first-registration,price
suzuki,ignis,unknown,2,new,19500
suzuki,ignis,65000,b,01-2017,16800
suzuki,ignis,52800,2,03-2017,16800
suzuki,ignis,unknown,2,new,19500
suzuki,ignis,unknown,2,new,20000
suzuki,ignis,unknown,2,new,18000
suzuki,ignis,68956,2,04-2019,16500
suzuki,ignis,unknown,2,new,18000
suzuki,ignis,unknown,2,new,20000
suzuki,ignis,unknown,2,new,18000
suzuki,ignis,unknown,2,new,18000
suzuki,ignis,unknown,2,new,20000
suzuki,ignis,10000,2,02-2021,15500
suzuki,ignis,47900,b,03-2018,12950
suzuki,ignis,unknown,2,new,15390
suzuki,ignis,49000,2,01-2020,12449
suzuki,ignis,53509,b,04-2019,14499
suzuki,ignis,85225,b,05-2018,11999
suzuki,ignis,20982,2,09-2020,14900
suzuki,ignis,11732,2,09-2020,16900
suzuki,ignis,130953,2,04-2018,11900
suzuki,ignis,51992,l,09-2018,13900
suzuki,ignis,86786,b,07-2017,13500
suzuki,ignis,39000,2,10-2020,13500
suzuki,ignis,unknown,2,new,15390
suzuki,ignis,29500,2,11-2020,16000
suzuki,ignis,1,2,10-2023,17390
suzuki,ignis,58467,b,02-2018,15400
suzuki,ignis,82382,l,06-2018,13900
suzuki,ignis,unknown,2,new,15390
suzuki,ignis,35035,2,06-2020,16400
suzuki,ignis,51086,2,07-2020,16400
suzuki,ignis,unknown,2,new,19650
suzuki,ignis,unknown,2,new,19650
suzuki,ignis,10,2,09-2023,19900
suzuki,ignis,unknown,2,new,20500
suzuki,ignis,76255,b,11-2018,13950
suzuki,ignis,124005,b,02-2003,4700
suzuki,ignis,105000,b,04-2005,3800
suzuki,ignis,130500,b,01-2004,4500
suzuki,ignis,11700,2,10-2022,17500
suzuki,ignis,44000,b,06-2019,13900
suzuki,ignis,50361,2,10-2018,13800
suzuki,ignis,158000,2,10-2018,12300
suzuki,ignis,52547,2,01-2019,16800
suzuki,ignis,12919,2,06-2020,15900
suzuki,ignis,unknown,2,new,19400
suzuki,ignis,54000,b,08-2017,15800
suzuki,ignis,unknown,2,new,16700
suzuki,ignis,26406,2,09-2020,15390
suzuki,ignis,unknown,2,new,21400
suzuki,ignis,19181,2,10-2021,15690
suzuki,ignis,120000,b,09-2017,13500
suzuki,ignis,unknown,2,new,20400
suzuki,ignis,unknown,2,new,17950
suzuki,ignis,10212,2,04-2019,15999
suzuki,ignis,unknown,2,new,16450
suzuki,ignis,unknown,2,new,16700
suzuki,ignis,52547,2,01-2019,16800
suzuki,ignis,55000,2,02-2021,16900
suzuki,ignis,64825,2,10-2021,16950
suzuki,ignis,unknown,2,new,16980
suzuki,ignis,42700,b,02-2018,17000
suzuki,ignis,4400,2,07-2020,17000
suzuki,ignis,unknown,2,new,17460
suzuki,ignis,11700,2,10-2022,17500
suzuki,ignis,unknown,2,new,17950
suzuki,ignis,unknown,2,new,17950
suzuki,ignis,unknown,2,new,17950
suzuki,ignis,unknown,2,new,17950
suzuki,ignis,1,2,01-2024,18450
suzuki,ignis,1,2,01-2024,18450
suzuki,ignis,1,2,01-2024,18450
suzuki,ignis,1,2,01-2024,18450
suzuki,ignis,53166,2,01-2018,18500
suzuki,ignis,unknown,2,new,19400
suzuki,ignis,19500,2,01-2021,19500
suzuki,ignis,1,2,01-2024,19950
suzuki,ignis,1,2,01-2024,19950
suzuki,ignis,1,2,01-2024,19950
suzuki,ignis,1,2,01-2024,19950
suzuki,ignis,20200,2,11-2020,19950
suzuki,ignis,unknown,2,new,20400
suzuki,ignis,unknown,2,new,20900
suzuki,ignis,8700,2,09-2020,20950
suzuki,ignis,150,2,01-2023,21300
suzuki,ignis,5,2,01-2023,21300
suzuki,ignis,unknown,2,new,21400
suzuki,ignis,unknown,2,new,21500
suzuki,ignis,10,2,01-2024,21765
suzuki,ignis,10,2,01-2023,21950
suzuki,ignis,10,2,01-2023,22000
suzuki,ignis,unknown,2,new,22500
suzuki,ignis,20,2,01-2023,22700
suzuki,ignis,10,2,03-2023,22900
suzuki,ignis,800,2,07-2022,22950
suzuki,ignis,20,2,02-2023,23700
suzuki,ignis,20,2,04-2023,23700
suzuki,ignis,20,2,07-2022,23850
suzuki,ignis,20,2,11-2022,24450
suzuki,ignis,6585,2,09-2021,17900
suzuki,ignis,96500,b,01-2017,11900
suzuki,ignis,19000,b,10-2021,17000
suzuki,ignis,222000,b,08-2001,1800
suzuki,ignis,53000,2,10-2019,14900
