make,model,mileage,fuel-type,first-registration,price,mileage_grouped
suzuki,ignis,0,2,new,19500,0
suzuki,ignis,65000,b,01-2017,16800,65000
suzuki,ignis,52800,2,03-2017,16800,52000
suzuki,ignis,68956,2,04-2019,16500,68000
suzuki,ignis,10000,2,02-2021,15500,10000
suzuki,ignis,47900,b,03-2018,12950,47000
suzuki,ignis,49000,2,01-2020,12449,49000
suzuki,ignis,53509,b,04-2019,14499,53000
suzuki,ignis,85225,b,05-2018,11999,85000
suzuki,ignis,20982,2,09-2020,14900,20000
suzuki,ignis,11732,2,09-2020,16900,11000
suzuki,ignis,130953,2,04-2018,11900,130000
suzuki,ignis,51992,l,09-2018,13900,51000
suzuki,ignis,86786,b,07-2017,13500,86000
suzuki,ignis,39000,2,10-2020,13500,39000
suzuki,ignis,29500,2,11-2020,16000,29000
suzuki,ignis,1,2,10-2023,17390,0
suzuki,ignis,58467,b,02-2018,15400,58000
suzuki,ignis,82382,l,06-2018,13900,82000
suzuki,ignis,35035,2,06-2020,16400,35000
suzuki,ignis,51086,2,07-2020,16400,51000
suzuki,ignis,10,2,09-2023,19900,0
suzuki,ignis,76255,b,11-2018,13950,76000
suzuki,ignis,124005,b,02-2003,4700,124000
suzuki,ignis,105000,b,04-2005,3800,105000
suzuki,ignis,130500,b,01-2004,4500,130000
suzuki,ignis,11700,2,10-2022,17500,11000
suzuki,ignis,44000,b,06-2019,13900,44000
suzuki,ignis,50361,2,10-2018,13800,50000
suzuki,ignis,158000,2,10-2018,12300,158000
suzuki,ignis,52547,2,01-2019,16800,52000
suzuki,ignis,12919,2,06-2020,15900,12000
suzuki,ignis,54000,b,08-2017,15800,54000
suzuki,ignis,26406,2,09-2020,15390,26000
suzuki,ignis,19181,2,10-2021,15690,19000
suzuki,ignis,120000,b,09-2017,13500,120000
suzuki,ignis,10212,2,04-2019,15999,10000
suzuki,ignis,55000,2,02-2021,16900,55000
suzuki,ignis,64825,2,10-2021,16950,64000
suzuki,ignis,42700,b,02-2018,17000,42000
suzuki,ignis,4400,2,07-2020,17000,4000
suzuki,ignis,1,2,01-2024,18450,0
suzuki,ignis,53166,2,01-2018,18500,53000
suzuki,ignis,19500,2,01-2021,19500,19000
suzuki,ignis,20200,2,11-2020,19950,20000
suzuki,ignis,8700,2,09-2020,20950,8000
suzuki,ignis,150,2,01-2023,21300,0
suzuki,ignis,5,2,01-2023,21300,0
suzuki,ignis,10,2,01-2024,21765,0
suzuki,ignis,10,2,01-2023,21950,0
suzuki,ignis,20,2,01-2023,22700,0
suzuki,ignis,10,2,03-2023,22900,0
suzuki,ignis,800,2,07-2022,22950,0
suzuki,ignis,20,2,02-2023,23700,0
suzuki,ignis,20,2,04-2023,23700,0
suzuki,ignis,20,2,07-2022,23850,0
suzuki,ignis,20,2,11-2022,24450,0
suzuki,ignis,6585,2,09-2021,17900,6000
suzuki,ignis,96500,b,01-2017,11900,96000
suzuki,ignis,19000,b,10-2021,17000,19000
suzuki,ignis,222000,b,08-2001,1800,222000
suzuki,ignis,53000,2,10-2019,14900,53000
suzuki,ignis,64500,2,02-2020,14800,64000
suzuki,ignis,24903,2,11-2020,13900,24000
suzuki,ignis,29616,2,07-2020,14200,29000
suzuki,ignis,28737,2,05-2021,15120,28000
suzuki,ignis,45500,b,05-2019,14200,45000
suzuki,ignis,31073,b,02-2017,9900,31000
suzuki,ignis,50000,2,07-2020,12450,50000
suzuki,ignis,87000,b,12-2017,11500,87000
suzuki,ignis,46000,2,12-2020,12999,46000
suzuki,ignis,62000,b,06-2017,10500,62000
suzuki,ignis,34294,b,11-2020,15900,34000
suzuki,ignis,36983,2,06-2020,14200,36000
suzuki,ignis,41500,2,10-2020,15700,41000
suzuki,ignis,187246,b,01-2008,3900,187000
suzuki,ignis,92945,b,01-2020,12950,92000
suzuki,ignis,29383,2,10-2020,14900,29000
suzuki,ignis,46579,2,09-2021,14900,46000
suzuki,ignis,36700,2,11-2021,14900,36000
suzuki,ignis,19000,2,03-2017,15500,19000
suzuki,ignis,28500,2,02-2019,15700,28000
suzuki,ignis,36187,2,02-2021,16400,36000
suzuki,ignis,31000,2,05-2021,16900,31000
suzuki,ignis,8000,2,10-2020,17495,8000
suzuki,ignis,6000,2,07-2022,17990,6000
suzuki,ignis,1000,2,12-2023,19800,1000
suzuki,ignis,1500,2,07-2023,21500,1000
suzuki,ignis,30286,2,09-2020,14900,30000
suzuki,ignis,19219,2,09-2020,14900,19000
suzuki,ignis,140000,b,06-2005,3000,140000
suzuki,ignis,11366,2,11-2021,15900,11000
suzuki,ignis,79000,b,08-2018,13900,79000
suzuki,ignis,2650,2,09-2022,16900,2000
suzuki,ignis,57458,2,06-2020,15500,57000
suzuki,ignis,157621,b,06-2008,4800,157000
suzuki,ignis,38900,b,10-2019,17700,38000
suzuki,ignis,206000,b,12-2004,2500,206000
suzuki,ignis,10,2,12-2023,20900,0
suzuki,ignis,47000,2,08-2020,13000,47000
suzuki,ignis,78610,2,02-2018,14300,78000
suzuki,ignis,48200,b,06-2017,11900,48000
suzuki,ignis,15500,2,08-2021,15600,15000
suzuki,ignis,93000,b,04-2017,10400,93000
suzuki,ignis,47000,b,10-2018,13990,47000
suzuki,ignis,220000,b,06-2006,2500,220000
suzuki,ignis,16629,2,07-2020,15300,16000
suzuki,ignis,55416,b,04-2017,11790,55000
suzuki,ignis,140000,b,12-2005,4150,140000
suzuki,ignis,59823,2,04-2021,13490,59000
suzuki,ignis,9408,2,06-2021,17200,9000
suzuki,ignis,9000,2,05-2020,15900,9000
suzuki,ignis,34000,2,07-2021,16900,34000
suzuki,ignis,40000,2,04-2021,14900,40000
suzuki,ignis,46881,2,11-2019,15500,46000
suzuki,ignis,155000,b,06-2006,4750,155000
suzuki,ignis,125000,b,12-2004,4400,125000
suzuki,ignis,61030,2,02-2020,14214,61000
suzuki,ignis,61122,2,04-2018,14799,61000
suzuki,ignis,51284,2,12-2020,14800,51000
suzuki,ignis,54000,2,07-2021,14900,54000
suzuki,ignis,20456,2,11-2016,14900,20000
suzuki,ignis,48753,b,05-2019,14900,48000
suzuki,ignis,45682,2,10-2017,14950,45000
suzuki,ignis,31000,2,04-2021,15000,31000
suzuki,ignis,76900,2,05-2020,15900,76000
suzuki,ignis,15500,2,03-2021,16500,15000
suzuki,ignis,25000,2,05-2020,16500,25000
suzuki,ignis,43661,b,06-2018,16990,43000
suzuki,ignis,6295,2,11-2022,17450,6000
suzuki,ignis,8428,2,06-2021,17950,8000
suzuki,ignis,19557,2,01-2023,18790,19000
suzuki,ignis,25100,2,03-2021,18790,25000
suzuki,ignis,19193,2,04-2021,18900,19000
suzuki,ignis,41,2,07-2023,18900,0
suzuki,ignis,11445,2,02-2022,18950,11000
suzuki,ignis,0,2,new,19700,0
suzuki,ignis,13,b,10-2023,19900,0
suzuki,ignis,1,2,12-2023,19990,0
suzuki,ignis,7000,2,11-2021,20200,7000
suzuki,ignis,10,2,11-2023,20897,0
suzuki,ignis,45,2,12-2023,21900,0
suzuki,ignis,1,b,01-2024,23000,0
suzuki,ignis,37000,2,05-2018,15900,37000
