make,model,mileage,fuel-type,first-registration,price
toyota,iq,130000,b,01-2013,8500
toyota,iq,134000,b,03-2013,9250
toyota,iq,72000,b,08-2013,11500
toyota,iq,101340,b,04-2017,11500
toyota,iq,80000,b,05-2014,10000
toyota,iq,160000,b,01-2014,15540
toyota,iq,120000,b,11-2014,9500
toyota,iq,120000,b,12-2014,9500
toyota,iq,213000,b,06-2014,5200
toyota,iq,130000,b,01-2013,8500
toyota,iq,134000,b,03-2013,9250
toyota,iq,72000,b,08-2013,11500
toyota,iq,80000,b,05-2014,10000
toyota,iq,101340,b,04-2017,11500
toyota,iq,160000,b,01-2014,15540
toyota,iq,105000,b,12-2013,8000
toyota,iq,105000,b,12-2013,8000
toyota,iq,37500,b,11-2014,10000
